FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,83.0,96.0,104.0,73.0,75.0,82.0,83.0,72.0,84.0,95.0,125.0,119.0,126.0,137.0
A,Annual,ABW,Aruba,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,270.0,291.0,336.0,353.0,411.0,375.0,404.0,405.0,435.0,427.0,359.0,442.0,489.0,525.0
A,Annual,AFG,Afghanistan,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,818.0,1066.0,638.0,296.0,456.0,311.0,176.0,170.0,249.0,214.0,375.0,,,
A,Annual,AFG,Afghanistan,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,185.0,324.0,432.0,204.0,322.0,108.0,84.0,74.0,126.0,89.0,76.0,,,
A,Annual,AGO,Angola,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,63.0,60.0,50.0,42.0,60.0,51.0,36.0,43.0,42.0,24.0,17.0,36.0,26.0,36.0
A,Annual,AGO,Angola,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,7322.0,9061.0,8922.0,9605.0,10140.0,7800.0,5433.0,6189.0,3796.0,2681.0,2010.0,2306.0,2512.0,2345.0
A,Annual,AIA,Anguilla,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,7.0,7.0,8.0,7.0,6.0,8.0,7.0,55.0,9.0,8.0,9.0,9.0,8.0,8.0
A,Annual,AIA,Anguilla,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,27.0,26.0,27.0,30.0,33.0,34.0,32.0,38.0,26.0,32.0,25.0,28.0,35.0,36.0
A,Annual,ALB,Albania,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,312.0,314.0,308.0,301.0,286.0,241.0,398.0,,,782.0,,,954.0,1065.0
A,Annual,ALB,Albania,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,215.0,275.0,235.0,209.0,185.0,193.0,196.0,268.0,289.0,314.0,324.0,358.0,334.0,526.0
A,Annual,AND,Andorra,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B1,Proportion of businesses using computers,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,,,88.41,,92.0,,,
A,Annual,AND,Andorra,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B2,Proportion of persons employed routinely using computers,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,,,78.9,,80.6,,,
A,Annual,AND,Andorra,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,,,86.59,,90.49,,,
A,Annual,AND,Andorra,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,,,15.8,,12.5,,,
A,Annual,AND,Andorra,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B4,Proportion of persons employed routinely using the Internet,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,,,73.8,,79.1,,,
