imdb_id,type,title,director,language,country,year,released_at,runtime,imdb_rating,metascore,imdb_votes,country_group
tt0147800,movie,10 Things I Hate About You,Gil Junger,"English, French",USA,1999,1999-03-31,97,7.3,70.0,283945,usa
tt0115433,movie,101 Dalmatians,Stephen Herek,"English, Spanish","USA, UK",1996,1996-11-27,103,5.7,49.0,97785,usa_other
tt0211181,movie,102 Dalmatians,Kevin Lima,English,"USA, UK",2000,2000-11-22,100,4.9,35.0,33444,usa_other
tt0046672,movie,"20,000 Leagues Under the Sea",Richard Fleischer,English,USA,1954,1955-07-20,127,7.2,83.0,27761,usa
tt0120623,movie,A Bug's Life,"John Lasseter, Andrew Stanton(co-director)",English,USA,1998,1998-11-25,95,7.2,77.0,257065,usa
tt0113198,movie,A Goofy Movie,Kevin Lima,English,"USA, Australia, France, Canada",1995,1995-04-07,78,6.8,,43655,usa_other
tt1620680,movie,A Wrinkle in Time,Ava DuVernay,English,USA,2018,2018-03-09,109,4.2,53.0,38659,usa
tt6139732,movie,Aladdin,Guy Ritchie,"English, Arabic",USA,2019,2019-05-24,128,7.0,53.0,204537,usa
tt0103639,movie,Aladdin,"Ron Clements, John Musker",English,USA,1992,1992-11-25,90,8.0,86.0,356283,usa
tt0115491,movie,Aladdin and the King of Thieves,Tad Stones,English,USA,1996,1996-08-13,81,6.4,,31603,usa
tt0107952,movie,Aladdin and the Return of Jafar,"Toby Shelton, Tad Stones, Alan Zaslove",English,USA,1994,1994-05-20,69,5.9,,25623,usa
tt0043274,movie,Alice in Wonderland,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",English,USA,1951,1951-09-14,75,7.4,68.0,123377,usa
tt1014759,movie,Alice in Wonderland,Tim Burton,English,USA,2010,2010-03-05,108,6.4,53.0,371772,usa
tt0327437,movie,Around the World in 80 Days,Frank Coraci,"English, Cantonese, French, German, Hindi, Turkish","USA, Germany, Ireland, UK",2004,2004-06-16,120,5.9,49.0,82011,usa_other
tt0230011,movie,Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise","English, French, Spanish",USA,2001,2001-06-22,95,6.9,52.0,98258,usa
tt0499549,movie,Avatar,James Cameron,"English, Spanish",USA,2009,2009-12-18,162,7.8,83.0,1086714,usa
tt0034492,movie,Bambi,"James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi",English,USA,1942,1942-08-21,70,7.3,91.0,125824,usa
tt8075496,movie,Bao,Domee Shi,"Chinese, English","USA, Canada",2018,2018-06-15,8,7.5,,19660,usa_other
